NAME,C02003_003E,state,zip code tabulation area,GEOID,percent
ZCTA5 75454,8183,48,75454,4875454,8.183
ZCTA5 75455,19625,48,75455,4875455,19.625
ZCTA5 75478,840,48,75478,4875478,0.84
ZCTA5 75481,355,48,75481,4875481,0.355
ZCTA5 75488,464,48,75488,4875488,0.464
ZCTA5 75494,8330,48,75494,4875494,8.33
ZCTA5 75497,3240,48,75497,4875497,3.24
ZCTA5 75554,1980,48,75554,4875554,1.98
ZCTA5 75556,1175,48,75556,4875556,1.175
ZCTA5 75566,521,48,75566,4875566,0.521
ZCTA5 75567,4739,48,75567,4875567,4.739
ZCTA5 75641,41,48,75641,4875641,0.041
ZCTA5 76865,144,48,76865,4876865,0.144
ZCTA5 76877,3559,48,76877,4876877,3.559
ZCTA5 76945,1574,48,76945,4876945,1.574
ZCTA5 76951,1037,48,76951,4876951,1.037
ZCTA5 76656,2281,48,76656,4876656,2.281
ZCTA5 76681,651,48,76681,4876681,0.651
ZCTA5 76661,4381,48,76661,4876661,4.381
ZCTA5 76666,281,48,76666,4876666,0.281
ZCTA5 76676,262,48,76676,4876676,0.262
ZCTA5 76678,258,48,76678,4876678,0.258
ZCTA5 76686,184,48,76686,4876686,0.184
ZCTA5 76001,18948,48,76001,4876001,18.948
ZCTA5 76010,40566,48,76010,4876010,40.566
ZCTA5 76088,11199,48,76088,4876088,11.199
ZCTA5 76103,8002,48,76103,4876103,8.002
ZCTA5 76119,16152,48,76119,4876119,16.152
ZCTA5 76127,1461,48,76127,4876127,1.461
ZCTA5 76357,595,48,76357,4876357,0.595
ZCTA5 76238,350,48,76238,4876238,0.35
ZCTA5 76247,12776,48,76247,4876247,12.776
ZCTA5 76265,1582,48,76265,4876265,1.582
ZCTA5 76426,11427,48,76426,4876426,11.427
ZCTA5 76437,5171,48,76437,4876437,5.171
ZCTA5 76538,787,48,76538,4876538,0.787
ZCTA5 76544,17071,48,76544,4876544,17.071
ZCTA5 76569,2140,48,76569,4876569,2.14
ZCTA5 76578,1288,48,76578,4876578,1.288
ZCTA5 76624,1899,48,76624,4876624,1.899
ZCTA5 76627,1474,48,76627,4876627,1.474
ZCTA5 76634,6908,48,76634,4876634,6.908
ZCTA5 76639,1333,48,76639,4876639,1.333
ZCTA5 76652,1317,48,76652,4876652,1.317
ZCTA5 76679,1247,48,76679,4876679,1.247
ZCTA5 76802,4888,48,76802,4876802,4.888
ZCTA5 76828,214,48,76828,4876828,0.214
ZCTA5 76849,3410,48,76849,4876849,3.41
ZCTA5 76852,198,48,76852,4876852,0.198
ZCTA5 76866,663,48,76866,4876866,0.663
